cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,75.0,71.0,59.0,60.0,69.0,340.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,75.0,71.0,59.0,60.0,69.0,340.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,53.0,43.0,49.0,60.0,269.0,Computador + internet
SANTANDER,CHIPATA,SANTANDER,SANTANDER,No,No,42.0,47.0,49.0,50.0,36.0,221.0,Sin acceso
SANTANDER,CHIPATA,SANTANDER,SANTANDER,No,No,42.0,47.0,49.0,50.0,36.0,221.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,42.0,46.0,43.0,37.0,43.0,210.0,Solo internet
SANTANDER,EL GUACAMAYO,SANTANDER,SANTANDER,No,No,59.0,41.0,53.0,44.0,51.0,245.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,Si,52.0,50.0,50.0,51.0,44.0,247.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,54.0,63.0,44.0,50.0,53.0,271.0,Solo internet
SANTANDER,EL PLAYON,SANTANDER,SANTANDER,No,No,52.0,69.0,62.0,59.0,63.0,304.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,No,53.0,60.0,35.0,47.0,47.0,253.0,Solo computador
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,54.0,50.0,45.0,56.0,49.0,258.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,59.0,73.0,68.0,64.0,313.0,Computador + internet
SANTANDER,PUERTO WILCHES,SANTANDER,SANTANDER,No,No,50.0,47.0,52.0,41.0,39.0,224.0,Sin acceso
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,54.0,43.0,46.0,48.0,32.0,222.0,Solo internet
SANTANDER,GIRON,SANTANDER,SANTANDER,No,Si,54.0,43.0,46.0,48.0,32.0,222.0,Solo internet
SANTANDER,SAN MIGUEL,SANTANDER,SANTANDER,No,No,33.0,46.0,32.0,46.0,33.0,195.0,Sin acceso
SANTANDER,SAN MIGUEL,SANTANDER,SANTANDER,No,No,33.0,46.0,32.0,46.0,33.0,195.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,40.0,46.0,34.0,49.0,30.0,203.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,No,50.0,54.0,46.0,52.0,58.0,265.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,40.0,41.0,45.0,33.0,37.0,192.0,Sin acceso
SANTANDER,CHARALA,SANTANDER,SANTANDER,No,No,49.0,43.0,42.0,47.0,45.0,228.0,Sin acceso
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,No,Si,64.0,57.0,64.0,66.0,59.0,308.0,Solo internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,58.0,54.0,62.0,59.0,48.0,277.0,Computador + internet
SANTANDER,FLORIDABLANCA,SANTANDER,SANTANDER,Si,Si,58.0,54.0,62.0,59.0,48.0,277.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,61.0,53.0,66.0,58.0,46.0,276.0,Computador + internet
SANTANDER,CURITI,SANTANDER,SANTANDER,No,No,41.0,45.0,35.0,38.0,35.0,197.0,Sin acceso
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,45.0,42.0,45.0,47.0,40.0,218.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,68.0,65.0,66.0,56.0,70.0,324.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,68.0,65.0,66.0,56.0,70.0,324.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,61.0,62.0,54.0,61.0,47.0,287.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,Si,52.0,48.0,47.0,50.0,45.0,243.0,Solo internet
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,50.0,41.0,49.0,50.0,38.0,225.0,Computador + internet
SANTANDER,OIBA,SANTANDER,SANTANDER,Si,No,42.0,46.0,49.0,43.0,41.0,217.0,Solo computador
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,72.0,60.0,62.0,62.0,60.0,317.0,Computador + internet
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,48.0,41.0,37.0,40.0,43.0,213.0,Sin acceso
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,48.0,41.0,37.0,40.0,43.0,213.0,Sin acceso
SANTANDER,PUENTE NACIONAL,SANTANDER,SANTANDER,Si,Si,57.0,57.0,39.0,44.0,42.0,246.0,Computador + internet
SANTANDER,TONA,SANTANDER,SANTANDER,No,No,60.0,47.0,43.0,59.0,57.0,274.0,Sin acceso
SANTANDER,GUEPSA,SANTANDER,SANTANDER,No,No,46.0,47.0,54.0,41.0,46.0,228.0,Sin acceso
SANTANDER,TONA,SANTANDER,SANTANDER,No,Si,45.0,69.0,48.0,52.0,57.0,276.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,58.0,63.0,45.0,47.0,49.0,268.0,Computador + internet
SANTANDER,SOCORRO,SANTANDER,SANTANDER,No,No,69.0,62.0,60.0,60.0,61.0,314.0,Sin acceso
SANTANDER,SOCORRO,SANTANDER,SANTANDER,No,No,69.0,62.0,60.0,60.0,61.0,314.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,Si,No,41.0,16.0,41.0,28.0,36.0,155.0,Solo computador
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,Si,57.0,46.0,45.0,55.0,36.0,241.0,Solo internet
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,Si,57.0,46.0,45.0,55.0,36.0,241.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,73.0,72.0,64.0,69.0,68.0,350.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,No,54.0,51.0,48.0,64.0,52.0,273.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,Si,28.0,34.0,43.0,46.0,46.0,194.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,65.0,58.0,56.0,57.0,61.0,300.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,57.0,62.0,80.0,59.0,62.0,308.0,Computador + internet
SANTANDER,PIEDECUESTA,SANTANDER,SANTANDER,Si,Si,48.0,53.0,51.0,48.0,48.0,247.0,Computador + internet
SANTANDER,SAN ANDRES,SANTANDER,SANTANDER,No,No,21.0,45.0,29.0,33.0,31.0,161.0,Sin acceso
